,id,schema,name,aliases,birth_date,countries,addresses,identifiers,sanctions,phones,emails,dataset,date_stamp,last_change,listing_date,delisting_date,month
15,NK-3PCZXM69gdrPSkq9dtZyep,Organization,Central Bank of the Russian Federation,"Bank Rossi, Federal State Budgetary Institution;Bank of Russia;Bank of Russia, Central Bank;Central Bank of Russia;Tsentralny Bank Rossiskoi Federatsii;Центральный Банк Российской Федерации",,ru,"Moscow;Neglinnaya St 12, Moscow, 107016",00032253;1037700013020;7702235133;CBRFRUMM,Non-SDN Menu-Based Sanctions List - Executive Order 14024 Directive 1a - Program - Executive Order 14024 - 2022-02-22;Program - Consolidated List - Executive Order 14024 Directive 1a - Executive Order 14024 - 2022-02-22,,,US OFAC Consolidated (non-SDN) List,20220226,,20220226,,2022-02
16,NK-3Vx3SwYCEsMXmN8gixy62y,Organization,"JIANGXI HONGDU AVIATION INDUSTRY CO., LTD.","HDAA;Jiangxi Hongdu Aviation Industry Co., Ltd.",,cn,"P.O. Box 5001-500, 330024 Nanchang;Xinxi Bridge Road Qingyunpu District, 330024 Nanchang",,Non-SDN CMIC List - Program - CMIC Executive Order - Executive Order 14032 (CMIC) - 2021-06-03;Program - CMIC Executive Order - Consolidated List - Executive Order 14032 (CMIC) - 2021-06-03,,,US OFAC Consolidated (non-SDN) List,20210930,,20210930,,2021-09
17,NK-3XdZtsqxCuGjy9JTQ2KNth,Company,"GAZPROM DOBYCHA KRASNODAR, OOO",GAZPROM DOBYCHA KRASNODAR;OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU 'GAZPROM DOBYCHA KRASNODAR',,ru,"d.53 ul.Shosse Neftyanikov, Krasnodar, Krasnodarski krai, Russia, 350051",1022301190471;2308065678,13662 Sectoral Directive 4 - Consolidated List - Program - Executive Order 13662 (Ukraine) - 2016-09-01;13662 Sectoral Directive 4 - Sectoral Sanctions Identifications List - Program - Executive Order 13662 (Ukraine) - 2016-09-01,,adm@kuban.gazprom.ru,US OFAC Consolidated (non-SDN) List,20210918,,20210918,,2021-09
18,NK-3zHmooE3rxki5TFVXpdChy,Company,ROSSISKAYA ELEKTRONIKA OAO,JSC RUSELECTRONICS;ROSELEKTRONIKA OAO;RUSELECTRONICS;RUSELECTRONICS JSC;RUSELEKTRONICS;RUSSIAN ELECTRONICS;RUSSIAN ELECTRONICS OPEN JOINT STOCK COMPANY,,ru,"12 Kosmonavta Volkova ul., Moscow, Russia, 127299",1027739000475;7710277994,13662 Sectoral Directive 3 - Consolidated List - Program - Executive Order 13662 (Ukraine) - 2015-12-22;13662 Sectoral Directive 3 - Program - Sectoral Sanctions Identifications List - Executive Order 13662 (Ukraine) - 2015-12-22,,info@ruselectronics.ru,US OFAC Consolidated (non-SDN) List,20210918,,20210918,,2021-09
19,NK-42UUnobTR7xYLAhGVNethY,Company,GPB-DI HOLDINGS LIMITED,SIRITIA VENTURES LTD,,cy,"1 Lampousas, 1095 Nicosia",HE 145737,13662 Sectoral Directive 1 - Sectoral Sanctions Identifications List - Program - Executive Order 13662 (Ukraine) - 2016-09-01;Program - Consolidated List - 13662 Sectoral Directive 1 - Executive Order 13662 (Ukraine) - 2016-09-01,,,US OFAC Consolidated (non-SDN) List,20210928,,20210928,,2021-09
20,NK-4CptzvW5WxLYJA9S2MELJr,Company,STRAKHOVOVE OBSHCHESTVO SURGUTNEFTEGAZ OOO,"INSURANCE COMPANY SURGUTNEFTEGAS, LLC;LIMITED LIABILITY COMPANY INSURANCE COMPANY SURGUTNEFTEGAS;LLC INSURANCE COMPANY SURGUTNEFTEGAS",,ru,"9/1 Lermontova Ulitsa, Surgut, Russia, 628418;Russia",1028600581811;8602103061,13662 Sectoral Directive 4 - Consolidated List - Program - Executive Order 13662 (Ukraine) - 2018-01-26;13662 Sectoral Directive 4 - Sectoral Sanctions Identifications List - Program - Executive Order 13662 (Ukraine) - 2018-01-26,,,US OFAC Consolidated (non-SDN) List,20210918,,20210918,,2021-09
21,NK-4EQWSrcDpRCjAmXUZM5CB6,Organization,CHINA SHIPBUILDING INDUSTRY COMPANY LIMITED,CSICL;China Shipbuilding Industry Co Ltd,,cn,"72 Kunminghu South Road, Haidian District, 100097 Beijing, China",,Consolidated List - CMIC Executive Order - Program - Executive Order 14032 (CMIC) - 2021-06-03;Non-SDN CMIC List - CMIC Executive Order - Program - Executive Order 14032 (CMIC) - 2021-06-03,,,US OFAC Consolidated (non-SDN) List,20210918,,20210918,,2021-09
22,NK-4Er4A8KNFJBcvxqnAdNkf3,Company,CROSSPLANET LTD,,,cy,"196/Themistokli Dervi, 3 Julia House, 1066 Nicosia",,Program - 13662 Sectoral Directive 1 - Consolidated List - Executive Order 13662 (Ukraine) - 2016-09-01;Sectoral Sanctions Identifications List - Program - 13662 Sectoral Directive 1 - Executive Order 13662 (Ukraine) - 2016-09-01,,,US OFAC Consolidated (non-SDN) List,20210930,,20210930,,2021-09
23,NK-4HCciS2VyrU9JVSFP5GD8y,Company,BOM FINANCE LTD,,,vg,"2nd Floor Vanterpool Plaza, Wickhams Cay 1, Road Town",,Program - 13662 Sectoral Directive 1 - Consolidated List - Executive Order 13662 (Ukraine) - 2016-09-01;Sectoral Sanctions Identifications List - Program - 13662 Sectoral Directive 1 - Executive Order 13662 (Ukraine) - 2016-09-01,,,US OFAC Consolidated (non-SDN) List,20210930,,20210930,,2021-09
24,NK-4Kf8zrxsXS7bcNxVEZN9nM,Person,Anwar Mohammed ZBOUN,Anwar Muhammad AL-ZBOUN,1968,ps,Bethlehem,,Reject - Program - Consolidated List - General License 4 Under EO 13224 (Terrorism) - 2014-10-10;Reject - Program - Non-SDN Palestinian Legislative Council List - General License 4 Under EO 13224 (Terrorism) - 2006-04-12,,,US OFAC Consolidated (non-SDN) List,20210930,,20210930,,2021-09
25,NK-4Ko4qiLaszLuPpbaoEKr6U,Organization,"GUIZHOU SPACE APPLIANCE CO., LTD","Guizhou Space Appliance Co., Ltd;SACO",,cn,"7, Honghe Road, Xiaohe District, 550009 Guiyang",,Non-SDN CMIC List - Program - CMIC Executive Order - Executive Order 14032 (CMIC) - 2021-06-03;Program - CMIC Executive Order - Consolidated List - Executive Order 14032 (CMIC) - 2021-06-03,,,US OFAC Consolidated (non-SDN) List,20210930,,20210930,,2021-09
26,NK-4QMw6UeLmA99N5reyUH8ck,Person,Salem SALAMEH,Salem Ahmad Abdel Hadi SALAMEH,1951,,,,Reject - Program - Consolidated List - General License 4 Under EO 13224 (Terrorism) - 2014-10-10;Reject - Program - Non-SDN Palestinian Legislative Council List - General License 4 Under EO 13224 (Terrorism) - 2006-04-12,,,US OFAC Consolidated (non-SDN) List,20210930,,20210930,,2021-09
27,NK-4bQTxUe28DeFszZ3Vb3FiV,Company,KONTSERN AVIAPRIBOROSTROENIE OAO,AIRCRAFT ENGINEERING CONCERN OPEN JOINT STOCK COMPANY;OPEN JOINT-STOCK COMPANY KONTSERN AVIAPRIBOROSTROYENIYE,,ru,"Per. Aviatsionniy, D. 5, Moscow, 125319",7704729515,Program - Consolidated List - 13662 Sectoral Directive 3 - Executive Order 13662 (Ukraine) - 2015-12-22;Program - Sectoral Sanctions Identifications List - 13662 Sectoral Directive 3 - Executive Order 13662 (Ukraine) - 2015-12-22,,,US OFAC Consolidated (non-SDN) List,20210928,,20210928,,2021-09
28,NK-4dWAmMSseqKTGL9QPUa92r,Company,"UMANSKI ELEVATOR, OAO",OPEN JOINT STOCK COMPANY 'Umanskiy Elevator';OTKRYTOE AKTSIONERNOE OBSHCHESTVO 'UMANSKI ELEVATOR';Otkrytoe Aktsionernoe Obshchestvo Otkrytogo TIPA Umanski Elevator,,ru,"1 Elevatorniy Pereulok, Leningradskaya Village, Leningradskiy District, Krasnodar Region, Russia;1 per. Elevatorny Stanitsa Leningradskaya, Leningradski Raion, Krasnodarski Kr., Russia, 353740",1022304292416;2341000195,13662 Sectoral Directive 1 - Consolidated List - Program - Executive Order 13662 (Ukraine) - 2016-12-20;13662 Sectoral Directive 1 - Sectoral Sanctions Identifications List - Program - Executive Order 13662 (Ukraine) - 2016-12-20,,umansk-el-yr@mail.ru,US OFAC Consolidated (non-SDN) List,20210918,,20210918,,2021-09
29,NK-4fLBoz4NM79McAMGXuGx3i,Company,SBERBANK EUROPE AG,,,at,"Schwarzenbergplatz 3, 1010 Wien",FN 161285 i;SABRATWW,13662 Sectoral Directive 1 - Sectoral Sanctions Identifications List - Program - Executive Order 13662 (Ukraine) - 2015-12-22;Program - Consolidated List - 13662 Sectoral Directive 1 - Executive Order 13662 (Ukraine) - 2015-12-22,,,US OFAC Consolidated (non-SDN) List,20210928,,20210928,,2021-09
30,NK-4iLmwpLM4HxY4xpHnH68GP,Company,KALININGRADNEFTEPRODUKT OOO,KALININGRADNEFTEPRODUKT LLC;LIMITED LIABILITY COMPANY KALININGRADNEFTEPRODUCT;LLC KALININGRADNEFTEPRODUCT,,ru,"22-b Komsomolskaya Ulitsa, Central District, Kaliningrad, Russia;Russia",1023900589240;3900000136,13662 Sectoral Directive 4 - Consolidated List - Program - Executive Order 13662 (Ukraine) - 2018-01-26;13662 Sectoral Directive 4 - Sectoral Sanctions Identifications List - Program - Executive Order 13662 (Ukraine) - 2018-01-26,,knp@baltnet.ru,US OFAC Consolidated (non-SDN) List,20210918,,20210918,,2021-09
31,NK-4jbfL3dwuaCjpeB5hLos2p,Company,"China United Network Communications Group Co., Ltd.",CHINA UNICOM;CHINA UNITED TELECOMMUNICATIONS CORPORATION;China United Network Communications Group Company Limited,,cn,"No. 21, Financial Street, Xicheng District, 100033 Beijing, China",,Consolidated List - CMIC Executive Order - Program - Executive Order 14032 (CMIC) - 2020-11-12;Non-SDN CMIC List - CMIC Executive Order - Program - Executive Order 14032 (CMIC) - 2021-06-03,,,US OFAC Consolidated (non-SDN) List,20210918,,20210918,,2021-09
32,NK-4mPdKR9Gr9LaLFiwTEakhN,Organization,Shaanxi Zhongtian Rocket Technology Company Limited,"Shaanxi Zhongtian Rocket Technology Co., Ltd",,cn,Xi'an,,Program - CMIC Executive Order - Non-SDN CMIC List - Executive Order 14032 (CMIC) - 2021-06-03;Program - Consolidated List - CMIC Executive Order - Executive Order 14032 (CMIC) - 2021-06-03,,,US OFAC Consolidated (non-SDN) List,20210928,,20210928,,2021-09
33,NK-4uabScaY8xbv6puGwHvRdp,Company,SBERBANK INSURANCE BROKER LIMITED LIABILITY COMPANY,"LLC INSURANCE BROKER OF SBERBANK;OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU STRAKHOVOI BROKER SBERBANKA;OOO STRAKHOVOI BROKER SBERBANKA;STRAKHOVOI BROKER SBERBANKA, OOO",,ru,"42 Bolshaya Yakimanka St., b. 1-2, office 206, Moscow, Russia, 119049",1147746683468,13662 Sectoral Directive 1 - Consolidated List - Program - Executive Order 13662 (Ukraine) - 2015-12-22;13662 Sectoral Directive 1 - Sectoral Sanctions Identifications List - Program - Executive Order 13662 (Ukraine) - 2015-12-22,,,US OFAC Consolidated (non-SDN) List,20210918,,20210918,,2021-09
34,NK-4wSWzCEx2qE2qNpJHtWrgw,Organization,Avic Xi'An Aircraft Industry Group Company Ltd.,"AVIC Aircraft Co., Ltd.;AVIC XiAn Aircraft Industry Group Co Ltd;Xi'an Aircraft Industrial Corp.;Xi'an Aircraft Industry Group Co Ltd",,cn,"No. 1, Xifei Avenue, Yanliang District, Shaanxi, China",,Consolidated List - CMIC Executive Order - Program - Executive Order 14032 (CMIC) - 2021-06-03;Non-SDN CMIC List - CMIC Executive Order - Program - Executive Order 14032 (CMIC) - 2021-06-03,,,US OFAC Consolidated (non-SDN) List,20210918,,20210918,,2021-09
35,NK-4yctkNPguYsQ5SsKEzf8Hp,Company,"TRANSNEFT-PODVODSERVIS, AO",AKTSIONERNOE OBSHCHESTVO 'TRANSNEFT-PODVODSERVIS';JSC 'VOLZHSKY PODVODNIK';OPEN JOINT-STOCK COMPANY 'VOLZHSKY PODVODNIK',,ru,"19A ul. Larina, Nizhni Novgorod, Nizhegorodskaya Obl., Russia, 603152",1025201982520;5250000820,13662 Sectoral Directive 2 - Consolidated List - Program - Executive Order 13662 (Ukraine) - 2017-06-20;13662 Sectoral Directive 2 - Sectoral Sanctions Identifications List - Program - Executive Order 13662 (Ukraine) - 2017-06-20,,alexandrovan@vp.transneft.ru,US OFAC Consolidated (non-SDN) List,20210918,,20210918,,2021-09
36,NK-55NPAK3amP3YCa3Nvdp9Az,Company,AKTSIONERNOE OBSHCHESTVO RT-OKHRANA,"JOINT STOCK COMPANY RT-GUARD;RT-OKHRANA;RT-OKHRANA ZAO;RT-OKHRANA, AO;ZAO RT-OKHRANA",,ru,"d. 24 ul. Usacheva, Moscow, Russia, 119048",1107746577652;7704759968,13662 Sectoral Directive 3 - Consolidated List - Program - Executive Order 13662 (Ukraine) - 2015-12-22;13662 Sectoral Directive 3 - Program - Sectoral Sanctions Identifications List - Executive Order 13662 (Ukraine) - 2015-12-22,,,US OFAC Consolidated (non-SDN) List,20210918,,20210918,,2021-09
37,NK-57G2aXxbR3dgYgpmwT3q4y,Company,IZ KARTEKS OOO,IZ-KARTEX NAMED AFTER P.G. KOROBKOV LTD,,ru,"Izhorskiy Zavod B/N, Kolpino, Saint-Petersburg, 196650;Izhorskiy Zavod, d. b/n, Kolpino, Saint-Petersburg, 196651",1047855158780;7817301375,13662 Sectoral Directive 1 - Sectoral Sanctions Identifications List - Program - Executive Order 13662 (Ukraine) - 2016-09-01;Program - Consolidated List - 13662 Sectoral Directive 1 - Executive Order 13662 (Ukraine) - 2016-09-01,,,US OFAC Consolidated (non-SDN) List,20210928,,20210928,,2021-09
38,NK-58N7hWVF9T7WhECoGDXT4A,Company,CNOOC Limited,CNOOC Ltd,,cn;hk,"Bank of China Tower, 65th Floor, 1, Garden Road, Hong Kong, China",0685974;549300XIVJCBIGMRUD48,Consolidated List - CMIC Executive Order - Program - Executive Order 14032 (CMIC) - 2021-01-08;Non-SDN CMIC List - CMIC Executive Order - Program - Executive Order 14032 (CMIC) - 2021-06-03,,,US OFAC Consolidated (non-SDN) List,20210918,,20210918,,2021-09
39,NK-5EkLm5RovBRtbkwuXvickJ,Organization,CHANGSHA JINGJIA MICROELECTRONICS COMPANY LIMITED,"Changsha Jingjia Microelectronics Co., Ltd;Changsha Jingjia Microelectronics Co., Ltd.;Changsha Jingjia Microelectronics Company Limited;JINGJIA MICRO",,cn,"No.1, Meixihu Road, Yuelu District, 410205 Changsha, China",,Consolidated List - CMIC Executive Order - Program - Executive Order 14032 (CMIC) - 2021-06-03;Non-SDN CMIC List - CMIC Executive Order - Program - Executive Order 14032 (CMIC) - 2021-06-03,,,US OFAC Consolidated (non-SDN) List,20210918,,20210918,,2021-09
40,NK-5PRUAcsFxgPEux8zcbeXPS,Company,OTKRYTOE AKTSIONERNOE OBSHCHESTVO VNESHNEEKONOMICHESKOE OBEDINENIE TEKHNOPROMEKSPORT,"JOINT STOCK COMPANY FOREIGN ECONOMIC ASSOCIATION TECHNOPROMEXPORT;JSC TPE;OJSC TECHNOPROMEXPORT;TECHNOPROMEXPORT FOREIGN ECONOMIC ASSOCIATION OPEN JOINT STOCK COMPANY;TECHNOPROMEXPORT OJSC;VO TEKHNOPROMEKSPORT, OAO",,ru,"d. 15 str. 2 ul. Novy Arbat, Moscow, Russia, 119019",1067746244026;7705713236,13662 Sectoral Directive 3 - Consolidated List - Program - Executive Order 13662 (Ukraine) - 2015-12-22;13662 Sectoral Directive 3 - Program - Sectoral Sanctions Identifications List - Executive Order 13662 (Ukraine) - 2015-12-22,,inform@tpe.ru,US OFAC Consolidated (non-SDN) List,20210918,,20210918,,2021-09
41,NK-5VneYm2ndRemXJoMhfnG2J,Company,"KRASNOYARSKGAZPROM, PAO",KRASNOYARSKGAZPROM;PUBLICHNOE AKTSIONERNOE OBSHCHESTVO 'KRASNOYARSKGAZPROM',,ru,"d.1 pl.Akademika Kurchatova, Moscow, Russia, 123182",1022401804820;2460040655,13662 Sectoral Directive 4 - Consolidated List - Program - Executive Order 13662 (Ukraine) - 2016-09-01;13662 Sectoral Directive 4 - Sectoral Sanctions Identifications List - Program - Executive Order 13662 (Ukraine) - 2016-09-01,,lukyanchikov@kgazprom.ru,US OFAC Consolidated (non-SDN) List,20210918,,20210918,,2021-09
42,NK-5YzNW7ez6E69HAGhg3Zj8v,Company,GAZPROMBANK LATIN AMERICA VENTURES BV,,,nl,"Dijsselhofplantsoen 14, 1077 Amsterdam",52285421,13662 Sectoral Directive 1 - Sectoral Sanctions Identifications List - Program - Executive Order 13662 (Ukraine) - 2016-09-01;Program - Consolidated List - 13662 Sectoral Directive 1 - Executive Order 13662 (Ukraine) - 2016-09-01,,,US OFAC Consolidated (non-SDN) List,20210928,,20210928,,2021-09
43,NK-5erWqbERRe28KTxpuckMXX,Company,Vnesheconombank,Bank Razvitiya I Vneshneekonomicheskoi Deyatelnosti (Vneshekonombank) Gosudarstvennaya Korporatsiya;Bank for Development and Foreign Economic Affairs (Vnesheconombank) State Corporation;VEB,,ru,"9 Akademika Sakharova prospekt, Moscow, Russia, 107996",BFEARUMM,13662 Sectoral Directive 1 - Consolidated List - Program - Executive Order 13662 (Ukraine) - 2014-10-10;13662 Sectoral Directive 1 - Sectoral Sanctions Identifications List - Program - Executive Order 13662 (Ukraine) - 2014-07-16,,info@veb.ru,US OFAC Consolidated (non-SDN) List,20210918,,20210918,,2021-09
